holding_id,customer_id,holding_amount,UNT_TRAN_AMT,POLI_GROSS_PMT,effective_date,status,created_ts
24f48a92,CUS00075,25136.26,25136.26,-1023.23,2024-03-26,active,2025-12-09T20:25:37.753854
382616d3,CUS00021,4570.04,4570.04,2422.54,2024-07-02,closed,2025-12-09T20:25:37.753854
3671cd4a,CUS00019,45432.62,45432.62,492.6,2025-04-19,active,2025-12-09T20:25:37.753854
2b4176b2,CUS00023,3344823.04,3344823.04,1466.68,2025-01-12,active,2025-12-09T20:25:37.753854
0658c89f,CUS00009,8935.9,8935.9,3999.21,2024-02-12,active,2025-12-09T20:25:37.753854
f3fb4453,CUS00056,32792.71,32792.71,1212.76,2025-07-03,pending,2025-12-09T20:25:37.753854
c47b52f6,CUS00023,26464.25,26464.25,121.63,2024-01-10,active,2025-12-09T20:25:37.753854
caae3806,CUS00096,24142.57,24142.57,2171.43,2023-12-24,active,2025-12-09T20:25:37.753854
089ea927,CUS00066,1937.36,1937.36,1549.44,2024-04-30,pending,2025-12-09T20:25:37.753854
c14a1867,CUS00003,22520.22,22520.22,4670.05,2025-12-08,active,2025-12-09T20:25:37.753854
0a85ea68,CUS00073,2088.68,2088.68,1630.31,2025-04-01,active,2025-12-09T20:25:37.753854
4b84708c,CUS00098,16581.91,16581.91,3212.02,2025-01-29,active,2025-12-09T20:25:37.753854
544ee6c7,CUS00047,11635.7,11635.7,2165.03,2024-09-21,pending,2025-12-09T20:25:37.753854
c74ac681,CUS00074,902.22,902.22,893.26,2024-09-05,pending,2025-12-09T20:25:37.753854
77fcfac4,CUS00043,-1240.06,-1240.06,2723.87,2025-04-03,active,2025-12-09T20:25:37.753854
27ea0d03,CUS00049,28815.02,28815.02,3534.18,2024-08-16,active,2025-12-09T20:25:37.753854
9e21e8ef,CUS00007,11848.68,11848.68,3258.35,2025-01-19,closed,2025-12-09T20:25:37.753854
baea6063,CUS00064,5358.26,5358.26,1754.11,2024-10-27,active,2025-12-09T20:25:37.753854
12164b82,CUS00094,22882.65,22882.65,2338.6,2024-08-27,active,2025-12-09T20:25:37.753854
6a56b642,CUS00070,12926.36,12926.36,4621.62,2023-12-30,pending,2025-12-09T20:25:37.753854
3c247322,CUS00007,-2117.75,-2117.75,3752.68,2025-10-20,pending,2025-12-09T20:25:37.753854
c22a97da,CUS00012,25463.42,25463.42,4305.2,2025-04-16,closed,2025-12-09T20:25:37.753854
e3386d5c,CUS99999,13807.9,13807.9,3389.0,INVALID_DATE,active,2025-12-09T20:25:37.753854
d57f2d13,CUS00075,48448.03,48448.03,662.66,2024-02-20,active,2025-12-09T20:25:37.753854
a18c2c86,CUS00055,-121.35,-121.35,3622.99,2024-01-23,active,2025-12-09T20:25:37.753854
bac8b2bc,CUS00061,23855.51,23855.51,3217.26,2025-03-21,active,2025-12-09T20:25:37.753854
963af4e7,CUS00075,18038.04,18038.04,1475.36,2025-11-16,pending,2025-12-09T20:25:37.753854
bae3f68b,CUS00039,33294.24,33294.24,3795.09,2025-03-28,active,2025-12-09T20:25:37.753854
ac16e612,CUS00026,28347.94,28347.94,1722.09,2025-07-13,closed,2025-12-09T20:25:37.753854
337fe1cd,CUS00090,5716917.19,5716917.19,1273.24,2025-06-20,closed,2025-12-09T20:25:37.753854
a8b3f811,CUS00048,5542.75,5542.75,1321.66,2024-01-13,pending,2025-12-09T20:25:37.753854
97b9fa9f,CUS00001,32329.52,32329.52,2495.76,2024-04-20,closed,2025-12-09T20:25:37.753854
e752dcb1,CUS00064,49668.88,49668.88,4959.64,2023-12-30,pending,2025-12-09T20:25:37.753854
ee6cd11c,CUS00028,46388.53,46388.53,3068.33,2024-09-20,closed,2025-12-09T20:25:37.753854
44cbf06c,CUS00033,40827.32,40827.32,1595.77,2024-06-25,pending,2025-12-09T20:25:37.753854
4ec08968,CUS00098,16063.23,16063.23,1318.99,2025-09-03,pending,2025-12-09T20:25:37.753854
1a1d0a1f,CUS00040,25207.25,25207.25,900.91,2025-09-16,active,2025-12-09T20:25:37.753854
9b27c6af,CUS00070,16408.64,16408.64,3283.3,2024-03-08,pending,2025-12-09T20:25:37.753854
e26e2aba,CUS00094,1689.16,1689.16,4165.79,2025-05-24,closed,2025-12-09T20:25:37.753854
ba4f548c,CUS00070,41888.16,41888.16,3456.17,2024-02-08,closed,2025-12-09T20:25:37.753854
4f399f91,CUS99999,-3054.34,-3054.34,4237.51,2025-08-30,closed,2025-12-09T20:25:37.753854
883098ef,CUS00097,14339.98,14339.98,1012.83,2025-05-10,closed,2025-12-09T20:25:37.753854
71612f7e,CUS00059,19566.19,19566.19,921.44,2025-12-03,active,2025-12-09T20:25:37.753854
493b907b,CUS00032,9750510.2,9750510.2,2722.97,2024-02-27,active,2025-12-09T20:25:37.753854
787f1f17,CUS00080,-3633.08,-3633.08,4716.04,2025-12-05,closed,2025-12-09T20:25:37.753854
a446bf9d,CUS00087,1231907.88,1231907.88,2770.67,2025-03-17,closed,2025-12-09T20:25:37.753854
c24cecc1,CUS00040,-1129.88,-1129.88,270.53,2024-04-22,pending,2025-12-09T20:25:37.753854
d2e2110a,CUS00005,9298.63,9298.63,1558.41,2025-06-01,closed,2025-12-09T20:25:37.753854
880c0b2e,CUS00022,45962.13,45962.13,4169.3,2024-09-26,closed,2025-12-09T20:25:37.753854
d677b164,CUS00067,34385.13,34385.13,381.97,2025-07-10,pending,2025-12-09T20:25:37.753854
a1aadfba,CUS00086,29555.78,29555.78,4630.33,2024-03-15,closed,2025-12-09T20:25:37.753854
388aa714,CUS00082,14580.3,14580.3,3039.01,2024-03-22,pending,2025-12-09T20:25:37.753854
00742ed5,CUS00013,19376.2,19376.2,2557.65,2025-08-25,pending,2025-12-09T20:25:37.753854
4284c98c,CUS00048,48410.35,48410.35,1929.74,2025-08-20,pending,2025-12-09T20:25:37.753854
c290bc2c,CUS00029,30854.98,30854.98,1999.0,2025-04-18,pending,2025-12-09T20:25:37.753854
